"id","name","lon","lat","type"
8572720,"Strengelbach, Hardmattenweg",7.92638,47.28222,"Bus"
8593493,"Strengelbach, Kath. Kirche",7.93032,47.2806,"Bus"
8502891,"Strengelbach, Kreuzplatz",7.92865,47.27873,"Bus"
8502356,"Strengelbach, Schleipfen",7.9211,47.27759,"Bus"
8572717,"Strengelbach, Schürliweg",7.93269,47.28569,"Bus"
8572721,"Strengelbach, Seniorenzentrum",7.92775,47.28035,"Bus"
8572719,"Strengelbach, Sägetstrasse",7.92569,47.28607,"Bus"
8530190,"Striggen",7.77263,46.2863,"Sesselbahn"
8573368,"Strohwilen, Dorf",9.01485,47.55176,"Bus"
8506959,"Strohwilen-Wolfikon, Käserei",9.01214,47.55039,"Bus"
8504441,"Studen BE",7.30176,47.11044,"Zug"
8576423,"Studen BE, 3 Tannen",7.29537,47.1171,"Bus"
8576428,"Studen BE, Grien",7.31543,47.11182,"Bus"
8576426,"Studen BE, Längacker",7.30572,47.11141,"Bus"
8576429,"Studen BE, Petinesca",7.30001,47.10873,"Bus"
8576427,"Studen BE, Sagi",7.31039,47.11144,"Bus"
8576424,"Studen BE, Schulhaus",7.29973,47.11569,"Bus"
8576425,"Studen BE, Wydenplatz",7.30217,47.11176,"Bus"
8573784,"Studen SZ, Adelmatt",8.84199,47.07144,"Bus"
8503742,"Studen SZ, Dörfli",8.8365,47.07441,"Bus"
8503743,"Studen SZ, Ochsenboden",8.84952,47.06376,"Bus"
8581154,"Stugl/Stuls, Dorf",9.73154,46.65096,"Bus"
8577286,"Stächenrain",8.22413,47.07677,"Bus"
8503107,"Stäfa",8.72166,47.24052,"Zug"
8503665,"Stäfa (See)",8.71844,47.2387,"Schiff"
8576101,"Stäfa, Bahnhof",8.72192,47.24041,"Bus"
8576054,"Stäfa, Binz",8.72381,47.24933,"Bus"
8576062,"Stäfa, Dorf",8.73496,47.23939,"Bus"
8587686,"Stäfa, Echtlenbach",8.71971,47.24678,"Bus"
8590447,"Stäfa, Frohberg",8.73972,47.24805,"Bus"
8576066,"Stäfa, Grund",8.72581,47.24089,"Bus"
8503359,"Stäfa, Kehlhof",8.73624,47.23418,"Bus"
8575973,"Stäfa, Kniebreche",8.72292,47.25141,"Bus"
8576067,"Stäfa, Krone",8.72295,47.24149,"Bus"
8576063,"Stäfa, Landi",8.73251,47.24074,"Bus"
8587685,"Stäfa, Lattenberg",8.71978,47.24882,"Bus"
8503361,"Stäfa, Laubisrüti",8.74784,47.23861,"Bus"
8575974,"Stäfa, Lindenbänkli",8.7275,47.24673,"Bus"
8587948,"Stäfa, Metzg",8.72634,47.24522,"Bus"
8576061,"Stäfa, Mies",8.73927,47.2392,"Bus"
8503172,"Stäfa, Mühlehölzli",8.72008,47.25785,"Bus"
8576064,"Stäfa, Obstgarten",8.73036,47.24114,"Bus"
8576060,"Stäfa, Phonak",8.74375,47.23926,"Bus"
8587687,"Stäfa, Rain",8.71964,47.24504,"Bus"
8575972,"Stäfa, Schützenhaus Wanne",8.72082,47.25464,"Bus"
8588139,"Stäfa, Strandbad",8.71394,47.24101,"Bus"
8576065,"Stäfa, Tränkebachstrasse",8.72699,47.2422,"Bus"
8503186,"Stäfa, Uelikon",8.71859,47.24917,"Bus"
8587688,"Stäfa, Wiesengrund",8.72254,47.24498,"Bus"
8587949,"Stäfa, Wässerwies",8.72776,47.2432,"Bus"
8531335,"Stätzerhorn",9.51626,46.75412,"Sesselbahn"
8531329,"Stätzertäli",9.52224,46.76148,"Sesselbahn"
